Fx, Fy, Fz, Mx, My, Mz
-2.00666,0.318772,1.3032,-0.300562,-1.11763,-0.175516
-2.06095,0.353611,1.26798,-0.303104,-1.12488,-0.168001
-2.03079,0.327994,1.25961,-0.294924,-1.11194,-0.174385
-2.05778,0.338172,1.29256,-0.304464,-1.13075,-0.174013
-2.02981,0.362045,1.33354,-0.307785,-1.14134,-0.161088
-1.21785,-3.78761,3.24428,1.03506,-1.50418,-1.57598
-2.07738,-1.9478,2.50256,0.456299,-1.5851,-0.995651
-2.23505,0.326282,1.18014,-0.185206,-1.20988,-0.149226
-2.01725,0.714177,1.06645,-0.305623,-1.09989,0.0333081
-1.86206,0.695972,0.955302,-0.30246,-1.00569,0.0494966
-1.84594,0.841542,1.05508,-0.35516,-1.03548,0.110438
-1.82311,0.760459,1.0628,-0.332627,-1.02941,0.0832501
-1.83032,0.756771,1.04508,-0.322401,-1.02883,0.0790589
-1.79802,0.67348,1.01115,-0.298818,-1.00207,0.0476992
-1.86059,0.596003,1.10011,-0.272569,-1.05721,0.0181885
-1.88561,0.629581,1.0627,-0.289861,-1.04877,0.0231064
-1.84186,0.604506,1.07283,-0.282418,-1.0392,0.0196315
-1.84988,0.645348,1.07117,-0.297348,-1.03753,0.0277755
-1.84515,0.618992,1.02484,-0.273406,-1.0235,0.0259834
-1.87776,0.605716,1.08202,-0.285505,-1.05018,0.0137229
-1.86402,0.635163,1.03289,-0.283735,-1.03315,0.0274614
-1.82209,0.652302,1.08344,-0.295208,-1.03721,0.0403353
-1.87484,0.604304,1.155,-0.280347,-1.08487,0.0220389
-1.93103,0.79509,1.16747,-0.337814,-1.10295,0.0830011
-1.69247,1.27932,1.05654,-0.43153,-1.00499,0.302537
-1.40239,1.56008,1.33819,-0.533204,-1.05136,0.455232
-1.49584,1.16814,1.43844,-0.507055,-1.08234,0.29268
-2.08846,0.859289,0.751877,-0.354306,-0.955236,0.098982
-2.25882,0.969681,0.351726,-0.338397,-0.836368,0.111797
-1.99084,0.973428,0.168669,-0.287022,-0.684699,0.152592
-1.48178,0.709466,0.100255,-0.214358,-0.507491,0.121051
-1.10042,0.453301,0.202492,-0.168335,-0.426658,0.0774804
-1.1758,0.314272,0.205996,-0.122955,-0.443021,0.022036
-1.38231,0.247248,0.381759,-0.127423,-0.561612,-0.0373473
-1.44456,0.262515,0.615867,-0.175307,-0.660253,-0.0504683
