Fx, Fy, Fz, Mx, My, Mz
-2.88567,5.27741,-1.87469,-3.5531,-1.02385,2.30845
-0.603681,4.57606,-1.17772,-3.05717,0.00234686,1.75413
1.8131,4.05299,-0.72775,-2.69769,1.23755,1.35964
3.82091,3.51508,-0.462712,-2.30843,2.42111,1.06752
4.32624,3.13831,-0.0274396,-1.98578,2.63798,0.980039
4.88156,2.85966,-0.495494,-1.75527,3.28677,0.921887
2.53568,3.23952,-0.424032,-1.93895,1.85342,1.08947
0.175488,3.35904,-0.835626,-2.0206,0.570436,1.02898
-3.33034,3.21466,-0.830683,-1.95161,-1.61525,0.608065
-5.78908,2.71464,0.154859,-1.69199,-3.57908,-0.00859775
-6.71503,2.02118,1.36266,-1.37947,-4.66631,-0.608669
-6.76098,1.22994,1.60452,-0.970675,-4.84866,-1.11446
-5.17843,1.39568,1.24037,-1.02541,-3.72176,-0.799318
-5.42885,0.589072,1.70336,-0.637505,-4.03763,-1.26688
-5.21322,0.34843,1.1568,-0.388564,-3.66062,-1.39803
-6.07081,0.48449,0.951928,-0.441623,-4.09475,-1.61708
-5.64834,-0.516696,0.341759,0.29528,-3.56362,-1.99832
-5.06019,-1.40068,-0.0598998,0.913558,-3.06663,-2.2258
-1.51803,-4.35175,0.123459,2.68032,-0.859854,-2.5058
2.9169,-7.74804,-0.348315,4.83574,2.14938,-2.69318
3.32224,-9.64214,-0.139322,5.89637,2.34299,-3.33983
8.85438,-12.5533,-0.186562,7.6264,5.84543,-2.99228
9.61742,-14.0374,0.261912,8.38515,6.14709,-3.37282
12.7812,-13.4552,-0.0917149,8.11609,8.23534,-2.34543
12.9887,-12.0578,1.60866,6.88347,7.69823,-1.85483
12.7408,-12.0978,1.8487,6.87276,7.43384,-2.03671
12.0147,-7.7824,0.388125,4.5921,7.49298,-0.619362
11.3626,-8.89303,1.45107,5.12662,6.63731,-1.30306
10.7687,-4.94466,-0.454678,3.07657,6.78348,-0.00533286
8.67598,-4.70348,0.933341,2.77481,4.82053,-0.367775
7.62961,-4.16447,0.247305,2.52414,4.27066,-0.462932
4.48356,-2.81924,-0.923688,1.85564,2.57168,-0.525411
3.03516,-1.60868,-0.0144991,1.10797,1.30214,-0.301965
1.71182,-0.716676,0.135361,0.618853,0.435227,-0.127635
0.889071,0.460257,-0.672716,0.0498248,0.15308,0.199022
-1.06632,0.695435,-2.45714,0.155193,-0.518264,0.137038
-1.81835,0.735042,-1.96314,0.133011,-1.21597,0.137406
-4.48663,1.30606,-3.629,0.114957,-2.45573,0.25286
-5.6938,1.8539,-4.19305,0.119702,-3.00037,0.521111
-5.39221,1.50272,-4.18158,0.342211,-2.64775,0.458549
-4.79806,0.0190247,-3.50185,1.06687,-2.43569,0.00794547
-4.45094,-0.851118,-2.81514,1.40729,-2.57605,-0.278427
-2.99824,-2.64723,-2.03747,2.31366,-2.11287,-0.630039
-2.90159,-3.07641,-1.11891,2.43052,-2.40958,-0.69798
-2.86461,-3.60263,-0.790981,2.75339,-2.47034,-0.792237
-3.79968,-2.64188,-1.24824,2.17716,-2.59603,-0.377092
-6.82453,-1.09304,-0.864983,1.14353,-4.17824,0.00435325
-8.54795,0.307667,-1.05513,0.362884,-5.15337,0.2575
-9.00312,1.54913,-1.44837,-0.367924,-5.4373,0.480489
-9.18583,3.0039,-2.42598,-1.29011,-5.38525,0.96211
-10.0708,3.16855,-3.56958,-1.53547,-5.68598,1.10215
-9.83713,2.65318,-3.96317,-1.27189,-5.31209,1.14282
-13.3465,2.76196,-7.30789,-1.46327,-6.35266,1.34797
-12.9559,2.20934,-8.80576,-1.17855,-5.78902,1.16632
-8.54003,2.15293,-5.73304,-1.10457,-4.3874,1.04093
-1.62531,1.58371,-4.05982,-0.652177,-0.738701,0.717406
5.0607,1.81011,-4.37247,-0.615436,3.78238,0.552511
6.75843,1.80662,-3.30447,-0.400919,4.81878,0.403726
5.9208,1.31246,-0.536457,0.0501343,3.60165,0.217365
1.72102,0.399834,0.0270763,0.688387,1.05435,-0.129611
-0.225961,-0.573128,-0.78934,1.06839,0.30365,-0.444552
-2.19202,-0.627758,1.8602,0.555709,-2.02053,-0.296933
-1.3817,-1.06877,2.87592,0.523605,-1.86422,-0.238187
-1.16067,-0.827824,3.81882,0.320788,-1.95127,-0.230168
-1.57442,-0.790351,2.20144,0.221165,-1.54054,-0.257434
-2.29597,-0.840457,0.760641,0.194879,-1.37246,-0.289908
-3.04639,-0.921864,0.258052,0.258262,-1.62001,-0.306988
-4.91743,-0.498043,0.530792,0.0620822,-2.62003,-0.120036
-4.584,-0.179363,1.08607,-0.0667804,-2.63916,0.0397886
-0.570908,0.0952177,1.83017,-0.154796,-0.823199,0.209076
0.956512,0.369617,1.71034,-0.339845,-0.161402,0.314769
3.83537,0.474487,0.216085,-0.422548,1.82996,0.378094
3.81855,0.556477,0.0343993,-0.471932,2.04251,0.405863
1.66264,0.445621,-0.135652,-0.377131,1.08102,0.29553
-0.741983,-0.170315,-0.341762,0.0527464,-0.24252,-0.0575814
-1.51713,-0.315232,0.286219,0.153897,-1.04353,-0.18933
-1.40059,-0.238423,0.299692,0.0997022,-1.0605,-0.15845
-0.943037,-0.224042,0.327057,0.0867086,-0.814124,-0.142852
-0.731312,-0.212346,0.356335,0.0742186,-0.694753,-0.133418
-0.731649,-0.213371,0.340432,0.0701489,-0.690806,-0.136149
-0.90374,-0.224923,0.309534,0.0783496,-0.800205,-0.139559
-0.837625,-0.212663,0.320893,0.0687611,-0.759868,-0.134417
-0.599284,-0.239796,0.30237,0.0883068,-0.587488,-0.141202
-0.530678,-0.19681,0.267571,0.060047,-0.5247,-0.124849
-0.642383,-0.25442,0.255508,0.0997385,-0.601248,-0.150275
-0.845169,-0.22507,0.323549,0.0737011,-0.766852,-0.136517
-0.839782,-0.22406,0.285326,0.0742916,-0.745414,-0.137418
-0.687284,-0.212365,0.319515,0.0667789,-0.65392,-0.135791
-0.762607,-0.181228,0.307526,0.0482665,-0.702087,-0.123147
-0.71583,-0.235841,0.34048,0.0887934,-0.683629,-0.14029
-0.847026,-0.200424,0.306501,0.0592093,-0.759646,-0.12881
-0.803949,-0.231295,0.293486,0.0812857,-0.722534,-0.136524
-0.698291,-0.241921,0.279585,0.0842487,-0.645346,-0.144407
-0.627758,-0.2107,0.288844,0.0662185,-0.602671,-0.128259
-0.673483,-0.230287,0.370571,0.0811675,-0.662563,-0.139218
-0.5066,-0.233742,0.333738,0.0834793,-0.537319,-0.135512
-0.65688,-0.217987,0.286284,0.0695093,-0.619588,-0.130353
-0.717946,-0.241923,0.285822,0.0866666,-0.663622,-0.141839
-0.789225,-0.21418,0.324066,0.0667934,-0.725432,-0.130341
-0.643109,-0.242773,0.302398,0.0848575,-0.616479,-0.141311
-0.563703,-0.196753,0.291471,0.0562593,-0.558898,-0.125087
-0.614045,-0.210282,0.285519,0.0621701,-0.59176,-0.13814
-0.540267,-0.193867,0.281644,0.0503869,-0.542528,-0.135341
-0.591871,-0.241487,0.275295,0.0806923,-0.573139,-0.144188
-0.600295,-0.206488,0.289502,0.0586158,-0.584605,-0.136321
-0.756968,-0.232288,0.223247,0.0739094,-0.667106,-0.146969
-0.74914,-0.187657,0.246313,0.0454494,-0.672794,-0.127663
-0.675373,-0.243679,0.2226,0.0832021,-0.612888,-0.148858
-0.718016,-0.221342,0.23602,0.0675936,-0.644319,-0.132928
-0.610435,-0.239231,0.195494,0.0765633,-0.557552,-0.143121
-0.93923,-0.196276,0.302897,0.0511936,-0.817265,-0.131248
-0.951996,-0.169341,0.292997,0.0368991,-0.820849,-0.114815
-1.06487,-0.198842,0.322228,0.052467,-0.906617,-0.1308
-1.00155,-0.219503,0.302925,0.0649725,-0.85753,-0.139542
-0.978276,-0.205582,0.294563,0.0603989,-0.838025,-0.124775
-0.971727,-0.189028,0.290307,0.0493188,-0.830834,-0.12664
-0.982142,-0.219292,0.284541,0.0671967,-0.838024,-0.137226
-0.97651,-0.208967,0.250388,0.0603134,-0.821641,-0.134476
-1.03848,-0.223904,0.294434,0.069407,-0.878062,-0.140268
-0.97415,-0.202391,0.293378,0.0564025,-0.834495,-0.128401
-0.967328,-0.227619,0.273029,0.072712,-0.823663,-0.141691
-0.906485,-0.201402,0.225854,0.054334,-0.76464,-0.130653
-0.949267,-0.21784,0.223662,0.0663785,-0.792106,-0.135722
-0.980322,-0.231179,0.268717,0.0745708,-0.830552,-0.142246
-0.940189,-0.214438,0.267103,0.0638552,-0.8033,-0.135789
-0.928777,-0.221059,0.252228,0.0680049,-0.788652,-0.132661
-0.976148,-0.235283,0.300701,0.0794872,-0.840011,-0.141727
-0.92132,-0.20589,0.242428,0.0600825,-0.780967,-0.130883
-0.990024,-0.210443,0.27881,0.0618725,-0.838584,-0.12801
-0.969919,-0.226724,0.284025,0.0733735,-0.828745,-0.139859
-0.926571,-0.218934,0.282392,0.0702043,-0.79823,-0.134004
-0.974414,-0.218578,0.309301,0.06824,-0.840722,-0.133139
-0.870001,-0.191662,0.250921,0.053572,-0.749774,-0.124779
-0.912905,-0.200267,0.234533,0.0551657,-0.770191,-0.133633
